nappi_code,method,atc_code,atc_class_desc,confidence,source_field,source_value,alternatives
3000543,exact,A10BG03,pioglitazone,1.0000,generic_name,Pioglitazone hydrochloride macleods,
3000544,exact,A10BG03,pioglitazone,1.0000,generic_name,Pioglitazone hydrochloride macleods,
760048,exact,C02AA02,reserpine,1.0000,generic_name,Reserpine,
828300,exact,C10AB02,bezafibrate,1.0000,generic_name,Bezafibrate,
781231,exact,J01CF05,flucloxacillin,1.0000,generic_name,Flucloxacillin,
769665,exact,C03DA01,spironolactone,1.0000,generic_name,Spironolactone),
3007589,exact,L04AK02,teriflunomide,1.0000,generic_name,Teriflunomide adco,
718266,exact,L02BG03,anastrozole,1.0000,generic_name,Teva anastrozole,
712607,exact,M03BX01,baclofen,1.0000,generic_name,Teva baclofen,
716661,exact,L02BB03,bicalutamide,1.0000,generic_name,Teva bicalutamide,
716660,exact,L02BB03,bicalutamide,1.0000,generic_name,Teva bicalutamide,
788376,exact,R03DA04,theophylline,1.0000,generic_name,Theophylline),
788368,exact,R03DA04,theophylline,1.0000,generic_name,Theophylline),
719405,exact,N06AX16,venlafaxine,1.0000,generic_name,Venlafaxine adco,
719403,exact,N06AX16,venlafaxine,1.0000,generic_name,Venlafaxine adco,
719402,exact,N06AX16,venlafaxine,1.0000,generic_name,Venlafaxine adco,
705064,exact,N06AB03,fluoxetine,1.0000,generic_name,Zydus fluoxetine,
